Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;CATEGORIA
;Planilha estoque e rotação 08/01/2026 12:15;;;;;;;;;;;;;;;;;;;;;;DUVIDA
;;;;;;;;;;;;;;;;;;;;;;;DUVIDA
Quant. Compra;Fil.;Código;Produto;Un;Falta;Venda;Estoque;Peças;Demanda;DE*;DSM*;O.Compra*;Oc.Aberta;Preço Bruto;Preço Compra;Custo medio;Preço lista;Data compra;Referencia;SALDOATUAL_TOT;SALDO_CONSIG;DATA_LOTE;DUVIDA
;00;000181; GUIA CANULA 5 MM ( AZUL);1;1;0;0;0;1;0;591;0;;0;0;874,09;874;2024-05-27 00:00:00;112-50;0;;0;DUVIDA
;00;000184; PINÇA PEGADOR DE FIO (TAG);1;1;0;0;0;1;0;591;0;;0;0;996,1;996;2024-05-27 00:00:00;6014001;0;;0;DUVIDA
;00;001952; TROCATER P/ OTICA;1;1;0;1;0;1;0;591;0;;0;0;66,01;66;2024-05-27 00:00:00;28229;0;;0;DUVIDA
;00;005827;(COPIA)CAMISA OPTICA 5.5 MM ( VERMELHA ) IOL;1;1;0;0;0;1;0;276;0;;0;0;0;0,01;2025-04-07 00:00:00;;0;;0;DUVIDA
;00;007081;(COPIA)CARBONO AZUL PARA MANUSCRITO A4- CAIXA COM 100 FOLHAS - CIS ;1;1;0;0;0;1;0;65;0;;0;0;0;20;2025-11-04 00:00:00;4859;0;;0;DUVIDA
;00;005911;(COPIA)CHAVE HEXAGONAL;1;1;0;0;0;1;0;273;0;;0;0;0;0,01;2025-04-10 00:00:00;;0;;0;DUVIDA
;00;005840;(COPIA)DILATADOR 7.0MM IMPLANFIX;1;1;0;0;0;1;0;275;0;;0;0;0;0,01;2025-04-08 00:00:00;;0;;0;DUVIDA
;00;005920;(COPIA)JALECO MANGA LONGA 50GRS BRANCO MS80880140001 (P);1;1;0;0;0;1;0;272;0;;0;0;0;0;2025-04-11 00:00:00;;0;;0;DUVIDA
;00;007082;(COPIA)MEDTESTE COVID 19 ANTIGENO C/ 25 UN MEDLEVENSOHN;1;1;0;0;0;1;0;65;0;;0;0;0;0,01;2025-11-04 00:00:00;4859;0;;0;DUVIDA
;00;007083;(COPIA)MEDTESTE INFLUENZA A+B H1N1 IFLU-C82 CX25 MEDLEVENSOHN;1;1;0;0;0;1;0;65;0;;0;0;0;0,01;2025-11-04 00:00:00;4859;0;;0;DUVIDA
;00;006799;(COPIA)PFN LONGA 2 CXS;1;1;0;0;0;1;0;141;0;;0;0;0;0,01;2025-08-20 00:00:00;;0;;0;DUVIDA
;00;005810;(COPIA)PINÇA BIRD BICK ESQUERDA;1;1;0;0;0;1;0;276;0;;0;0;0;0,01;2025-04-07 00:00:00;;0;;0;DUVIDA
;00;006911;(COPIA)TORNEIRA CANULADA DE 4,0 mm CABO EM T ;1;1;0;0;0;1;0;128;0;;0;0;0;0,01;2025-09-02 00:00:00;;0;;0;DUVIDA
;00;006498;+LANCETA C/DISP.SEG. 28G 1.8MM C/100 - DESCARPACK;1;15381,05;0;1040;0;16421,05;2;157;0;;12;12;1,09;0,01;2025-08-01 00:00:00;0009739;0;;0;DUVIDA
;00;006499;+LANCETA C/DISP.SEG. 28G 1.8MM C/100 - DESCARPACK;1;1;0;0;0;1;0;205;0;;0;0;0;0,01;2025-06-17 00:00:00;0009739;0;;0;DUVIDA
;00;002625;2019 NCOV ANTIGEN TEST - C/20 UNDS.  GUANGZHOU WONDFO BIOTECH CO LT CEPALAB;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;000053;0;;0;DUVIDA
;00;005303;4 Eletrodos perifericos ECG tipo garra Ag/AgCl (CARDIOLINE) PRO-LIFE ;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;PLFACELD0002A;0;;0;DUVIDA
;00;005302;6 Eletrodos de torso ECG tipo succao Ag/AgCl (CARDIOLINE) PRO-LIFE ;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;PLFACELD0005A;0;;0;DUVIDA
;00;004272;A A S INFANTIL CR/10 BRASTERAPICA BRASTERÁPICA ;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;34414;0;;0;DUVIDA
;00;001348;ABAIXADOR DE LINGUA BRUENNINGS;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;QX38519;0;;0;DUVIDA
;00;005708;ABAIXADOR DE LINGUA COM 100 UN. ESTILO;1;1;0;0;0;1;0;279;0;;0;0;0;0;2025-04-04 00:00:00;1343;0;;0;DUVIDA
;00;005822;ABAIXADOR DE LINGUA COM 100 UN. ESTILO (REF. 1101);1;5;0;5;0;10;193;276;0;;6,89;7,4;6,24;0,01;2025-04-08 00:00:00;1434;0;;0;DUVIDA
;00;001350;ABAIXADOR DE LINGUA MINESSOTA;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;15014;0;;0;DUVIDA
;00;005757;ABAIXADOR LINGUA, BEGE, ESTILO 100 UNIDADES ESTILO;1;1;0;0;0;1;0;1287;0;;0;0;0;0,01;2022-07-01 00:00:00;B07MHRTFD;0;;0;DUVIDA
;00;005430;ABSORVENTE DRY MASTERSOFT C/ 20 DESCARBOX;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;39824;0;;0;DUVIDA
;00;006542;ABSORVENTE GERIATRICO 08X50;400;0;0;0;0;0;0;195;0;;0;0;0;0,01;2025-06-27 00:00:00;;0;;0;DUVIDA
;00;005347;AC.POLIGLICOLICO  0  C/AG.4 MR (CX 36 ENV) SHALON;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;G500MR40;0;;0;DUVIDA
;00;005350;AC.POLIGLICOLICO 4-0 C/AG.2 MR (CX 36 ENV) SHALON;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;G540MR20;0;;0;DUVIDA
;00;005348;AC.POLIGLICOLICO 5-0 C/AG.1,5MR (CX 36 ENV) SHALON;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;G550MR15;0;;0;DUVIDA
;00;006083;ADAPTADOR DE FORÇA;1;1;0;0;0;1;0;268;0;;0;0;0;0,01;2025-04-15 00:00:00;OTP-630;0;;0;DUVIDA
;00;005894;ADCON GEL - 3G..;1;1;0;0;0;1;0;1287;0;;0;0;0;0,01;2022-07-01 00:00:00;167032..;0;;0;DUVIDA
;00;001785;AFASTADOR AUFRICH BUMERANGUE N°15 MUZYMED;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;392-13;0;;0;DUVIDA
;00;001792;AFASTADOR BLOUNT MUZYMED;1;1;0;0;0;1;0;591;0;;0;0;0;0,01;2024-05-27 00:00:00;187-04;0;;0;DUVIDA
;00;006089;AFASTADOR DE HOHMANN GRANDE;1;1;0;0;0;1;0;268;0;;0;0;0;0,01;2025-04-15 00:00:00;4535;0;;0;DUVIDA
;00;006088;AFASTADOR DE HOHMANN MED.;1;1;0;0;0;1;0;268;0;;0;0;0;0,01;2025-04-15 00:00:00;4534;0;;0;DUVIDA
;00;006232;AFASTADOR DE HOHMANN MÉD.;1;1;0;1;0;1;0;247;0;;40;40;40;0,01;2025-05-06 00:00:00;4534;0;;0;DUVIDA
;00;006231;AFASTADOR DE HOHMANN PEQ.;1;1;0;1;0;1;0;247;0;;40;40;40;0,01;2025-05-06 00:00:00;4533;0;;0;DUVIDA
